1957	3401
1958	4006
1959	4006
1960	4007
1922	1593
1923	1593
1924	2086
1925	2086
1926	2087
1927	2087
1928	3625
1929	3625
1930	3507
1931	3507
1936	3407
1937	3407
1939	1505
1940	1505
1941	1589
1942	1589
1944	4011
1945	4012
1946	4018
1947	4019
1961	4007
1962	4008
1963	4008
1964	4017
1965	4017
1972	3617
1977	3215
1978	3216
1979	3216
1980	3217
1984	1591
1985	1591
1988	1599
1981	3217
1989	1599
1990	1596
1991	1596
1992	3424
1982	1509
1983	1509
1986	1592
1987	1592
1971	3616
1973	3617
1974	3214
1975	3214
1976	3215
1966	3612
1967	3612
1968	3615
1969	3615
1970	3616
2009	3618
2011	3620
2012	3621
2020	1594
1994	3402
1996	3408
1997	3408
2021	1594
2022	20764
1995	3402
2004	3213
2005	3213
2006	3417
2007	3417
2023	20764
2024	20914
2025	20914
2026	20068
2027	20068
2008	3618
2010	3620
2014	1587
2015	1587
1993	3424
1998	1501
1999	1501
2000	1502
2001	1502
2002	1503
2003	1503
2013	3621
2016	1588
2017	1588
2018	1595
2019	1595
2030	3512
2031	3512
2033	3513
2036	3632
2037	3632
2043	2010
2044	20894
2054	1504
2032	3513
2034	3631
2035	3631
2038	3633
2039	3633
2040	3634
2041	3634
2042	2010
2045	20894
2046	2012
2047	2012
2048	2011
2028	3506
2029	3506
2049	2011
2050	3518
2051	1651
2052	3518
2053	1504
2055	1507
2059	20855
2063	20913
2067	2091
2072	20853
2078	20864
2079	20864
2082	200685
2061	2098
2062	2098
2071	20853
2083	200685
2075	21
2077	20863
2080	200684
2081	200684
2056	1507
2057	20812
2058	20812
2060	20855
2065	20833
2069	20936
2070	20936
2076	20863
2073	20935
2074	20935
2064	20913
2066	20833
2068	2091
2108	1927
2109	1609
2088	6310
2095	1336
2096	1334
2097	1335
2090	1919
2100	1927
2094	1336
2103	1602
2104	1602
2110	1609
2114	4403
2099	1920
2113	4403
2089	6310
2091	1919
2105	1335
2106	1334
2107	1920
2123	1710
2126	1711
2135	20633
2137	3409
2127	1712
2133	1345
2134	20633
2138	3411
2141	209934
2142	208738
2143	208738
2148	209824
2117	6202
2120	6205
2139	3411
2140	209934
2144	20794
2145	20794
2146	208633
2147	208633
2128	1712
2130	1344
2131	1344
2118	6202
2119	6205
2132	1345
2136	3409
2124	1710
2125	1711
2168	4441
2171	1731
2172	1701
2173	1702
2174	1702
2175	1703
2176	1703
2177	1704
2178	1704
2179	1701
2149	209824
2154	6301
2155	6302
2156	4441
2157	4421
2151	1716
2153	1901
2158	1933
2159	1731
2160	1306
2150	1716
2152	4404
2161	1931
2162	1916
2163	1902
2164	4404
2166	4421
2199	1333
2205	1317
2208	1331
2209	1604
2210	1331
2211	1627
2212	1628
2213	1627
2192	6311
2193	6311
2195	1306
2187	1909
2188	1909
2189	1910
2190	1910
2186	1933
2197	1332
2181	6301
2182	1901
2183	1902
2184	1916
2185	1931
2202	1601
2204	1601
2206	1317
